   0.00000000       1.24447298    
   4.16666679E-02   1.11964011    
  0.125000000      0.963649571    
  0.208333343      0.867741287    
  0.291666687      0.792537093    
  0.375000000      0.697643757    
  0.458333343      0.613508344    
  0.541666687      0.549366534    
  0.625000000      0.488878369    
  0.708333373      0.434378117    
  0.791666687      0.403931022    
  0.875000000      0.361508131    
  0.958333373      0.327001452    
   1.04166675      0.287927747    
   1.12500000      0.254029989    
   1.20833337      0.236269221    
   1.29166675      0.205822140    
   1.37500000      0.201255083    
   1.45833337      0.176694468    
   1.54166675      0.154772565    
   1.62500000      0.145638451    
   1.70833337      0.132444739    
   1.79166675      0.116916716    
   1.87500000      0.111537740    
   1.95833337      0.101287231    
   2.04166675       8.98188353E-02
   2.12500000       8.47443268E-02
   2.20833349       7.01297373E-02
   2.29166675       6.41418174E-02
   2.37500000       6.33298904E-02
   2.45833349       5.42972647E-02
   2.54166675       4.89182845E-02
   2.62500000       4.28288691E-02
   2.70833349       4.61780466E-02
   2.79166675       3.88707519E-02
   2.87500000       3.55215743E-02
   2.95833349       3.35932598E-02
   3.04166675       3.58260460E-02
   3.12500000       2.82142796E-02
   3.20833349       2.74023581E-02
   3.29166675       2.16174144E-02
   3.37500000       2.18203962E-02
   3.45833349       1.95876099E-02
   3.54166675       2.01965515E-02
   3.62500000       1.77607872E-02
   3.70833349       1.46145895E-02
   3.79166675       1.59339625E-02
   3.87500000       1.32952183E-02
   3.95833349       1.29907466E-02
   4.04166698       1.06564723E-02
   4.12500000       1.08594522E-02
   4.20833349       9.94604081E-03
   4.29166698       8.42368789E-03
   4.37500000       8.32219794E-03
   4.45833349       9.94604081E-03
   4.54166698       7.20580481E-03
   4.62500000       6.29239343E-03
   4.70833349       6.29239343E-03
   4.79166698       5.27749117E-03
   4.87500000       6.29239343E-03
